year,customer_name_norm,gross_invoices,positive_adjustments,credits_abs,net_invoiced,payments,year_net_delta,running_balance
2013,BRUCE ALLEN TALENT,33466.92,0.0,0.0,33466.92,33494.23,-27.31,1173.61
2014,BRUCE ALLEN TALENT,34761.07,0.0,328.13,34432.94,35478.81,-1045.87,127.74
2015,BRUCE ALLEN TALENT,53494.04,0.0,84.0,53410.04,53592.89,-182.85,-55.11
2016,BRUCE ALLEN TALENT,33404.06,0.0,592.48,32811.58,31028.54,1783.04,1727.93
2017,BRUCE ALLEN TALENT,21354.02,0.0,37.8,21316.22,23099.26,-1783.04,-55.11
2018,BRUCE ALLEN TALENT,6834.5,0.0,17.85,6816.65,6816.64,0.01,-55.1
2019,BRUCE ALLEN TALENT,7074.74,0.0,0.0,7074.74,7074.74,0.0,-55.1
2020,BRUCE ALLEN TALENT,23649.49,0.0,618.63,23030.86,23030.86,0.0,-55.1
2021,BRUCE ALLEN TALENT,5640.97,0.0,1230.43,4410.54,4410.54,0.0,-55.1
2022,BRUCE ALLEN TALENT,4298.39,0.0,0.0,4298.39,3951.19,347.2,292.1
2023,BRUCE ALLEN TALENT,5097.44,0.0,0.0,5097.44,4697.56,399.88,691.98
2024,BRUCE ALLEN TALENT,4880.44,0.0,0.0,4880.44,5627.52,-747.08,-55.1
2025,BRUCE ALLEN TALENT,5735.37,0.0,0.0,5735.37,5735.37,0.0,-55.1
2026,BRUCE ALLEN TALENT,0.0,0.0,0.0,0.0,0.0,0.0,-55.1
2013,BRUCE ALLEN TALENT1,55.13,0.0,0.0,55.13,0.0,55.13,55.13
2024,BY DOMAIN WEB SERVICES INC,5105.75,0.0,0.0,5105.75,1680.11,3425.64,3425.64
2025,BY DOMAIN WEB SERVICES INC,5698.19,0.0,2164.05,3534.14,7746.49,-4212.35,-786.71
2019,BYU,5694.7,0.0,0.0,5694.7,5608.07,86.63,86.63
2020,BYU,1709.94,0.0,0.0,1709.94,1796.57,-86.63,0.0
2021,BYU,14879.09,0.0,0.0,14879.09,13902.53,976.56,976.56
2022,BYU,7845.66,0.0,1276.8,6568.86,7602.59,-1033.73,-57.17
2023,BYU,57.17,0.0,0.0,57.17,0.0,57.17,-0.0
2002,"C & E SPECIALTIES, INC",1934.5,0.0,0.0,1934.5,1934.5,0.0,0.0
2003,"C & E SPECIALTIES, INC",94.5,0.0,0.0,94.5,94.5,0.0,0.0
2004,"C & E SPECIALTIES, INC",13049.8,0.0,0.0,13049.8,10418.8,2631.0,2631.0
2005,"C & E SPECIALTIES, INC",7016.2,76.0,0.0,7092.2,9723.2,-2631.0,0.0
2006,"C & E SPECIALTIES, INC",1444.0,0.0,0.0,1444.0,1444.0,0.0,0.0
2007,"C & E SPECIALTIES, INC",4081.62,0.0,0.0,4081.62,4081.62,0.0,0.0
2008,"C & E SPECIALTIES, INC",985.0,0.0,0.0,985.0,985.0,0.0,0.0
2009,"C & E SPECIALTIES, INC",2659.0,0.0,0.0,2659.0,2479.0,180.0,180.0
2010,"C & E SPECIALTIES, INC",3060.0,0.0,720.0,2340.0,2340.0,0.0,180.0
2011,"C & E SPECIALTIES, INC",5425.0,0.0,0.0,5425.0,2520.0,2905.0,3085.0
2012,"C & E SPECIALTIES, INC",5459.0,0.0,0.0,5459.0,7544.0,-2085.0,1000.0
2013,"C & E SPECIALTIES, INC",4168.0,0.0,60.0,4108.0,4908.0,-800.0,200.0
2014,"C & E SPECIALTIES, INC",3048.0,0.0,0.0,3048.0,3248.0,-200.0,0.0
2015,"C & E SPECIALTIES, INC",2499.0,0.0,0.0,2499.0,2499.0,0.0,0.0
2016,"C & E SPECIALTIES, INC",1064.68,0.0,0.0,1064.68,964.68,100.0,100.0
2017,"C & E SPECIALTIES, INC",5199.83,0.0,99.0,5100.83,4325.83,775.0,875.0
